station_type,primary_key,X,Y,Z
EGeo,PK-0000,315944.1079,6690699.068,1146.453847
Eloc,PK-0001,317277.3552,6693706.427,866.75
Eloc,PK-0002,317272.0196,6693729.645,867.418
Eloc,PK-0003,317276.6739,6693744.267,867.85016
Eloc,PK-0004,317332.569,6693813.349,869.134761
Eloc,PK-0005,317497.8818,6693904.964,869.329951
Eloc,PK-0006,317504.2119,6693902.867,866.704
Eloc,PK-0007,317513.2595,6693902.596,866.704004
Eloc,PK-0008,317522.5842,6693904.901,865.861043
Eloc,PK-0009,317572.1984,6693933.955,862.38
Eloc,PK-0010,317587.1828,6693941.985,860.832
Eloc,PK-0011,317609.0522,6693953.892,855.837
Eloc,PK-0012,317615.7149,6693960.222,855.455767
Eloc,PK-0013,317607.3255,6693976.293,855.953962
Eloc,PK-0014,317603.5093,6694009.47,856.123241
Eloc,PK-0015,317611.3905,6694055.511,856.000805
Eloc,PK-0016,317604.7733,6694061.406,851.890689
Eloc,PK-0017,317600.396,6694073.354,850.986069
Eloc,PK-0018,317591.5142,6694097.924,847.808244
Eloc,PK-0019,317584.1173,6694121.144,846.122
Eloc,PK-0020,317571.8572,6694151.672,842.9819
Eloc,PK-0021,317563.9306,6694174.304,840.697136
Eloc,PK-0022,317560.4503,6694187.296,840.82543
Eloc,PK-0023,317561.7498,6694194.741,840.897062
Eloc,PK-0024,317564.9103,6694207.078,840.371034
Eloc,PK-0025,317572.4705,6694214.477,840.853822
Eloc,PK-0026,317574.5662,6694215.095,841.341321
Eloc,PK-0027,317576.2391,6694224.204,840.957517
Eloc,PK-0028,317589.3465,6694240.178,840.671369
Eloc,PK-0029,317603.2692,6694256.761,841.099868
Eloc,PK-0030,317637.076,6694294.864,840.538709
Eloc,PK-0031,317649.5813,6694303.106,840.483712
Eloc,PK-0032,317662.9304,6694325.74,841.431674
Eloc,PK-0033,317730.1184,6694365.537,842.025864
Eloc,PK-0034,317720.8278,6694380.691,841.127949
Eloc,PK-0035,317722.9367,6694395.631,840.252096
Eloc,PK-0036,317685.2168,6694508.371,829.58368
Eloc,PK-0037,317679.7924,6694525.633,829.107149
Eloc,PK-0038,317695.6071,6694552.808,823.242063
Eloc,PK-0039,317692.861,6694560.777,823.563995
Eloc,PK-0040,317662.8692,6694580.781,820.466225
Eloc,PK-0041,317639.2363,6694636.299,816.420436
Eloc,PK-0042,317591.2023,6694660.339,809.937728
Eloc,PK-0043,317579.6875,6694693.75,807.493896
Eloc,PK-0044,317570.5321,6694709.796,805.265107
Eloc,PK-0045,317552.9417,6694752.87,800.687941
Eloc,PK-0046,317555.5807,6694765.903,798.966323
Eloc,PK-0047,317580.3478,6694780.519,796.732437
Eloc,PK-0048,317613.2331,6694797.136,793.468156
Eloc,PK-0049,317642.2823,6694786.664,790.710645
Eloc,PK-0050,317674.1817,6694798.185,787.969856
Eloc,PK-0051,317687.6335,6694781.95,787.122411
Eloc,PK-0052,317706.8727,6694777.581,788.185945
Eloc,PK-0053,317714.6705,6694760.516,786.974429
Eloc,PK-0054,317718.9055,6694748.478,787.314513
Eloc,PK-0055,317729.3155,6694730.473,786.193504
Eloc,PK-0056,317744.5708,6694719.81,785.893055
Eloc,PK-0057,317773.849,6694668.69,785.028317
Eloc,PK-0058,317792.7809,6694678.907,785.037331
Eloc,PK-0059,317810.6898,6694688.811,785.96831
Eloc,PK-0060,317829.7931,6694698.799,789.035999
Eloc,PK-0061,317841.8067,6694694.35,791.649715
Eloc,PK-0062,317850.7379,6694681.291,793.375845
Eloc,PK-0063,317949.3878,6694747.113,783.674794
Eloc,PK-0064,318639.206,6694617.603,615.879
Eloc,PK-0065,318659.135,6694619.891,615.047
Eloc,PK-0066,318666.222,6694621.464,615.257999
Eloc,PK-0067,318678.4692,6694616.169,615.947899
Eloc,PK-0068,318713.4283,6694536.149,625.417953
Eloc,PK-0069,318714.8371,6694523.47,627.144001
Eloc,PK-0070,318708.354,6694516.062,627.328999
Eloc,PK-0071,318705.5083,6694513.038,627.922408
Eloc,PK-0072,318700.975,6694509.52,627.552
Eloc,PK-0073,318701.4764,6694504.333,627.672344
Eloc,PK-0074,318683.634,6694494.759,627.997
Eloc,PK-0075,318656.779,6694480.331,626.816
Eloc,PK-0076,318509.967,6694408.476,614.215
Eloc,PK-0077,318503.934,6694399.121,614.161005
Eloc,PK-0078,318505.36,6694367.321,611.969647
Eloc,PK-0079,318514.142,6694360.347,611.637
Eloc,PK-0080,318517.9313,6694355.559,609.824385
Eloc,PK-0081,318522.486,6694348.36,609.711
Eloc,PK-0082,318499.3387,6694334.918,608.105841
Eloc,PK-0083,318517.5371,6694318.231,606.390998
Eloc,PK-0084,318526.4752,6694300.788,605.510963
Eloc,PK-0085,318540.5681,6694287.556,604.686285
Eloc,PK-0086,318558.2372,6694261.508,603.449129
Eloc,PK-0087,318566.5078,6694259.865,603.681739
Eloc,PK-0088,318570.3339,6694224.494,601.705192
Eloc,PK-0089,318578.9275,6694195.275,601.304653
Eloc,PK-0090,318578.9191,6694185.703,600.962821
Eloc,PK-0091,318588.1234,6694156.87,600.701359
Eloc,PK-0092,318593.7947,6694145.21,598.773673
Eloc,PK-0093,318592.5494,6694106.74,599.981578
Eloc,PK-0094,318615.1055,6694061.823,598.531785
Eloc,PK-0095,318614.0018,6694048.381,597.207239
Eloc,PK-0096,318622.3725,6694023.09,597.605726
Eloc,PK-0097,318622.68,6693994.019,596.479175
Eloc,PK-0098,318628.6726,6693973.493,596.54671
Eloc,PK-0099,318635.0181,6693940.685,595.242935
Eloc,PK-0100,318641.7728,6693927.44,594.522955
Eloc,PK-0101,318652.7611,6693898.546,592.854607
Eloc,PK-0102,318653.343,6693883.399,591.469949
Eloc,PK-0103,318662.2163,6693850.401,595.328936
Eloc,PK-0104,318663.5127,6693828.725,597.179252
Eloc,PK-0105,318659.7308,6693796.028,594.984171
Eloc,PK-0106,318658.8537,6693782.705,595.161805
Eloc,PK-0107,318657.4243,6693765.118,594.989665
Eloc,PK-0108,318659.7857,6693747.043,594.17107
Eloc,PK-0109,318659.7505,6693730.569,594.17536
Eloc,PK-0110,318663.8673,6693720.09,593.881526
Eloc,PK-0111,318661.1974,6693696.163,594.226197
Eloc,PK-0112,318642.3199,6693694.37,592.186639
Eloc,PK-0113,318622.4558,6693701.533,589.359106
Eloc,PK-0114,318605.4318,6693708.243,588.528052
Eloc,PK-0115,318592.4684,6693715.764,587.866756
Eloc,PK-0116,318591.4203,6693692.47,588.217701
Eloc,PK-0117,318589.2885,6693637.326,593.319222
Eloc,PK-0118,318580.9258,6693622.621,595.622983
Eloc,PK-0119,318576.5621,6693587.531,599.360221
Eloc,PK-0120,318557.6505,6693574.599,601.621471
Eloc,PK-0121,318553.836,6693561.158,601.442775
Eloc,PK-0122,318496.7898,6693532.868,606.219152
Eloc,PK-0123,318472.1646,6693517.636,608.732375
Eloc,PK-0124,318472.0588,6693503.96,609.3622
Eloc,PK-0125,318484.9287,6693491.824,611.066
Eloc,PK-0126,318493.966,6693488.67,612.859556
Eloc,PK-0127,318533.4619,6693509.359,621.439955
Eloc,PK-0128,318527.912,6693534.259,620.044203
Eloc,PK-0129,318517.6951,6693546.459,618.4041
Eloc,PK-0130,318479.9858,6693537.93,621.598469
Eloc,PK-0131,318392.0733,6693519.237,628.209064
Eloc,PK-0132,318328.506,6693506.26,632.75424
Eloc,PK-0133,318273.878,6693495.404,639.875133
Eloc,PK-0134,318244.0829,6693489.973,643.189013
Eloc,PK-0135,318219.2781,6693478.297,644.94
Eloc,PK-0136,318171.168,6693450.438,651.131454
Eloc,PK-0137,318141.0351,6693432.078,655.360491
Eloc,PK-0138,318134.2799,6693418.833,656.825449
Eloc,PK-0139,318131.6609,6693407.146,657.02979
Eloc,PK-0140,318122.3206,6693396.164,658.838743
Eloc,PK-0141,318121.9017,6693384.558,658.925
Eloc,PK-0142,318126.7072,6693363.35,661.366022
Eloc,PK-0143,318145.8339,6693328.153,663.410537
Eloc,PK-0144,318150.8432,6693283.326,665.001
Eloc,PK-0145,318172.4005,6693257.994,665.001
Eloc,PK-0146,318196.1989,6693239.915,664.80725
Eloc,PK-0147,318216.6117,6693195.706,667.066567
Eloc,PK-0148,318327.8746,6693141.157,664.880005
Eloc,PK-0149,317112.5528,6691098.099,948
Eloc,PK-0001,317277.3552,6693706.427,866.75
